,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5
0,2013-01-01 10:15:00,550.5,552.0,550.5,552.0,85,2013-01-01 11:14:00,2013-01-01 10:15:00,0.0,85.0,,,
1,2013-01-01 11:15:00,555.0,557.95,555.0,557.95,25,2013-01-01 12:14:00,2013-01-01 11:15:00,30.0,55.0,-1.0,,
2,2013-01-01 12:15:00,552.55,552.55,552.55,552.55,2,2013-01-01 13:14:00,2013-01-01 12:15:00,34.988887124660344,37.333333333333336,-1.0098444459649654,,
3,2013-01-01 13:15:00,553.2,563.9,553.2,563.9,39,2013-01-01 14:14:00,2013-01-01 13:15:00,30.309858132297485,37.75,0.04124070771113339,,
4,2013-01-01 14:15:00,562.95,562.95,560.8,560.8,20,2013-01-01 15:14:00,2013-01-01 14:15:00,28.02427519134081,34.2,-0.506703559790465,,
5,2013-01-01 15:15:00,562.95,562.95,560.0,560.0,71,2013-01-01 15:29:00,2013-01-01 15:15:00,29.0268075329609,40.333333333333336,1.0564946431619686,-1.4188126548823283,
6,2013-01-02 09:15:00,588.8,588.8,565.0,570.0,272,2013-01-02 10:14:00,2013-01-02 09:15:00,85.40467893314434,73.42857142857143,2.3250649853373058,1.9062523304549774,
7,2013-01-02 10:15:00,570.0,574.0,570.0,573.0,522,2013-01-02 11:14:00,2013-01-02 10:15:00,168.49406517738242,129.5,2.32945890163428,5.245555678054223,
8,2013-01-02 11:15:00,573.0,575.0,573.0,575.0,831,2013-01-02 12:14:00,2013-01-02 11:15:00,271.73234834263377,207.44444444444446,2.29474171683564,7.499056687178729,
9,2013-01-02 12:15:00,574.9,575.0,573.0,574.0,208,2013-01-02 13:14:00,2013-01-02 12:15:00,257.7879942898815,207.5,0.0019395783010660772,8.00769982527026,
10,2013-01-02 13:15:00,574.25,578.5,574.25,575.0,52,2013-01-02 14:14:00,2013-01-02 13:15:00,249.82330946173383,193.36363636363637,-0.5658544699780684,6.385350712130223,
11,2013-01-02 14:15:00,575.0,606.35,575.0,605.0,7495,2013-01-02 15:14:00,2013-01-02 14:15:00,2032.190888070202,801.8333333333334,3.2935718322320575,7.353857559024975,
