,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1008,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,1481.0,1494.0,1481.0,1490.0,104,2013-01-01 11:14:00,2013-01-01 09:15:00,,,,
1,2013-01-01 11:15:00,1485.0,1501.0,1485.0,1495.0,422,2013-01-01 13:14:00,2013-01-01 11:15:00,0.03350086885282027,,,
2,2013-01-01 13:15:00,1490.05,1500.0,1490.0,1490.0,76,2013-01-01 15:14:00,2013-01-01 13:15:00,-0.03350086885281974,,,
3,2013-01-01 15:15:00,1496.5,1496.5,1495.5,1495.5,14,2013-01-01 15:29:00,2013-01-01 15:15:00,0.03684479130497987,,,
4,2013-01-02 09:15:00,1479.0,1509.0,1479.0,1490.0,131,2013-01-02 11:14:00,2013-01-02 09:15:00,-0.03684479130497875,,,
5,2013-01-02 11:15:00,1487.15,1498.45,1485.0,1498.35,49,2013-01-02 13:14:00,2013-01-02 11:15:00,0.05588382706763445,,,
6,2013-01-02 13:15:00,1487.0,1496.4,1485.0,1494.0,153,2013-01-02 15:14:00,2013-01-02 13:15:00,-0.029074159535057084,,,
7,2013-01-02 15:15:00,1485.0,1490.0,1482.35,1483.05,25,2013-01-02 15:29:00,2013-01-02 15:15:00,-0.07356308681511033,,,
8,2013-01-03 09:15:00,1488.05,1498.7,1480.05,1483.95,228,2013-01-03 11:14:00,2013-01-03 09:15:00,0.006066734260897282,,,
9,2013-01-03 11:15:00,1482.0,1491.5,1482.0,1489.0,198,2013-01-03 13:14:00,2013-01-03 11:15:00,0.0339730224666773,,,
10,2013-01-03 13:15:00,1489.0,1491.5,1485.0,1491.5,326,2013-01-03 15:14:00,2013-01-03 13:15:00,0.016775712707942432,,,
11,2013-01-03 15:15:00,1486.45,1491.6,1486.3,1486.3,36,2013-01-03 15:29:00,2013-01-03 15:15:00,-0.03492514799954022,,,
12,2013-01-04 09:15:00,1475.0,1499.95,1475.0,1491.0,111,2013-01-04 11:14:00,2013-01-04 09:15:00,0.0315722560988918,,,
13,2013-01-04 11:15:00,1490.0,1495.5,1483.0,1484.55,154,2013-01-04 13:14:00,2013-01-04 11:15:00,-0.04335339753928583,,,
14,2013-01-04 13:15:00,1494.45,1498.0,1492.2,1494.0,206,2013-01-04 15:14:00,2013-01-04 13:15:00,0.06345390681952877,,,
15,2013-01-04 15:15:00,1494.95,1499.0,1493.0,1493.0,35,2013-01-04 15:29:00,2013-01-04 15:15:00,-0.006695681535722385,,,
16,2013-01-07 09:15:00,1490.05,1499.95,1480.0,1489.0,430,2013-01-07 11:14:00,2013-01-07 09:15:00,-0.026827648551813712,,,
17,2013-01-07 11:15:00,1492.9,1493.0,1484.0,1484.0,253,2013-01-07 13:14:00,2013-01-07 11:15:00,-0.03363608956683267,,,
18,2013-01-07 13:15:00,1484.0,1485.0,1478.0,1480.0,114,2013-01-07 15:14:00,2013-01-07 13:15:00,-0.026990569691650583,,,
19,2013-01-07 15:15:00,1485.0,1487.0,1485.0,1487.0,147,2013-01-07 15:29:00,2013-01-07 15:15:00,0.047185797019943326,,,
20,2013-01-08 09:15:00,1475.0,1499.85,1471.1,1478.05,456,2013-01-08 11:14:00,2013-01-08 09:15:00,-0.06037016024889237,,,
21,2013-01-08 11:15:00,1479.95,1480.0,1478.05,1480.0,149,2013-01-08 13:14:00,2013-01-08 11:15:00,0.013184363228949685,,,
22,2013-01-08 13:15:00,1477.05,1480.0,1470.0,1478.4,888,2013-01-08 15:14:00,2013-01-08 13:15:00,-0.010816658707410233,,,
23,2013-01-08 15:15:00,1477.0,1477.0,1464.1,1465.5,85,2013-01-08 15:29:00,2013-01-08 15:15:00,-0.08763940736472697,,,
24,2013-01-09 09:15:00,1462.0,1485.25,1462.0,1480.0,81,2013-01-09 11:14:00,2013-01-09 09:15:00,0.09845606607213542,,,
25,2013-01-09 11:15:00,1480.0,1480.0,1475.0,1480.0,118,2013-01-09 13:14:00,2013-01-09 11:15:00,0.0,,,
