,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1008,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,429.5,429.5,423.15,425.9,7974,2013-01-01 11:14:00,2013-01-01 09:15:00,,,,
1,2013-01-01 11:15:00,425.9,427.9,424.0,427.5,3550,2013-01-01 13:14:00,2013-01-01 11:15:00,0.037497114476471555,,,
2,2013-01-01 13:15:00,426.95,432.0,425.1,427.9,13648,2013-01-01 15:14:00,2013-01-01 13:15:00,0.009352350459562626,,,
3,2013-01-01 15:15:00,426.5,427.75,426.0,427.75,3986,2013-01-01 15:29:00,2013-01-01 15:15:00,-0.0035061065046822167,,,
4,2013-01-02 09:15:00,432.5,437.65,428.0,431.8,10206,2013-01-02 11:14:00,2013-01-02 09:15:00,0.09423605308404123,,,
5,2013-01-02 11:15:00,432.0,436.7,429.05,432.15,7416,2013-01-02 13:14:00,2013-01-02 11:15:00,0.008102321179401226,,,
6,2013-01-02 13:15:00,432.15,433.0,421.05,422.5,16342,2013-01-02 15:14:00,2013-01-02 13:15:00,-0.22583303401418597,,,
7,2013-01-02 15:15:00,422.0,423.2,421.2,422.2,2843,2013-01-02 15:29:00,2013-01-02 15:15:00,-0.007103113830082791,,,
8,2013-01-03 09:15:00,427.0,429.0,423.05,425.0,5679,2013-01-03 11:14:00,2013-01-03 09:15:00,0.06610033510196642,,,
9,2013-01-03 11:15:00,424.9,425.4,422.2,422.2,4872,2013-01-03 13:14:00,2013-01-03 11:15:00,-0.0661003351019662,,,
10,2013-01-03 13:15:00,423.05,424.25,419.0,424.0,9276,2013-01-03 15:14:00,2013-01-03 13:15:00,0.0425431981773751,,,
11,2013-01-03 15:15:00,423.0,424.8,421.5,423.15,2253,2013-01-03 15:29:00,2013-01-03 15:15:00,-0.020067291158428393,,,
12,2013-01-04 09:15:00,420.1,424.85,415.0,418.85,7858,2013-01-04 11:14:00,2013-01-04 09:15:00,-0.1021386551629632,,,
13,2013-01-04 11:15:00,417.4,419.0,414.5,415.0,5745,2013-01-04 13:14:00,2013-01-04 11:15:00,-0.09234340369120227,,,
14,2013-01-04 13:15:00,415.85,417.9,414.15,414.2,6716,2013-01-04 15:14:00,2013-01-04 13:15:00,-0.019295712692145275,,,
15,2013-01-04 15:15:00,414.0,416.3,412.0,414.75,2040,2013-01-04 15:29:00,2013-01-04 15:15:00,0.013269801090700811,,,
16,2013-01-07 09:15:00,420.0,430.05,415.3,418.5,7669,2013-01-07 11:14:00,2013-01-07 09:15:00,0.09000960858976123,,,
17,2013-01-07 11:15:00,418.0,419.7,411.6,413.5,6457,2013-01-07 13:14:00,2013-01-07 11:15:00,-0.12019375465784046,,,
18,2013-01-07 13:15:00,413.5,420.75,413.5,415.8,5717,2013-01-07 15:14:00,2013-01-07 13:15:00,0.055468609601665754,,,
19,2013-01-07 15:15:00,415.75,418.45,415.7,417.9,921,2013-01-07 15:29:00,2013-01-07 15:15:00,0.05037794029957081,,,
20,2013-01-08 09:15:00,411.0,419.9,408.0,411.4,7907,2013-01-08 11:14:00,2013-01-08 09:15:00,-0.15676192235012928,,,
21,2013-01-08 11:15:00,410.1,411.0,408.1,409.7,3027,2013-01-08 13:14:00,2013-01-08 11:15:00,-0.04140792666031388,,,
22,2013-01-08 13:15:00,409.95,410.9,400.1,401.7,19247,2013-01-08 15:14:00,2013-01-08 13:15:00,-0.1971964318758892,,,
23,2013-01-08 15:15:00,401.3,402.75,401.1,402.0,2713,2013-01-08 15:29:00,2013-01-08 15:15:00,0.00746547253784563,,,
24,2013-01-09 09:15:00,404.95,413.85,403.15,411.05,12764,2013-01-09 11:14:00,2013-01-09 09:15:00,0.22262772979121442,,,
25,2013-01-09 11:15:00,411.1,411.1,406.2,407.75,3491,2013-01-09 13:14:00,2013-01-09 11:15:00,-0.08060620097019232,,,
26,2013-01-09 13:15:00,406.5,407.7,403.15,404.1,7044,2013-01-09 15:14:00,2013-01-09 13:15:00,-0.08991869416695221,,,
27,2013-01-09 15:15:00,405.0,408.95,404.1,407.2,2870,2013-01-09 15:29:00,2013-01-09 15:15:00,0.07642093151884982,,,
28,2013-01-10 09:15:00,408.0,413.2,405.0,408.0,11075,2013-01-10 11:14:00,2013-01-10 09:15:00,0.01962709167848689,,,
29,2013-01-10 11:15:00,407.4,409.5,407.0,408.0,4022,2013-01-10 13:14:00,2013-01-10 11:15:00,0.0,,,
30,2013-01-10 13:15:00,408.2,410.0,403.0,407.5,5851,2013-01-10 15:14:00,2013-01-10 13:15:00,-0.012262417232442964,,,
31,2013-01-10 15:15:00,407.5,408.0,405.65,407.9,2565,2013-01-10 15:29:00,2013-01-10 15:15:00,0.009811136425952752,,,
32,2013-01-11 09:15:00,402.5,409.85,402.5,404.95,3793,2013-01-11 11:14:00,2013-01-11 09:15:00,-0.0725844362851386,,,
33,2013-01-11 11:15:00,404.1,404.75,393.5,396.05,8487,2013-01-11 13:14:00,2013-01-11 11:15:00,-0.22223136784710124,,,
