,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1764,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,357.8,357.85,353.3,356.05,68710,2013-01-01 10:14:00,2013-01-01 09:15:00,,,,
1,2013-01-01 10:15:00,356.2,356.95,355.7,356.0,32839,2013-01-01 11:14:00,2013-01-01 10:15:00,-0.0014043957610329963,,,
2,2013-01-01 11:15:00,356.15,358.45,355.95,356.15,152823,2013-01-01 12:14:00,2013-01-01 11:15:00,0.004212595723323368,,,
3,2013-01-01 12:15:00,356.2,356.9,355.95,356.6,98672,2013-01-01 13:14:00,2013-01-01 12:15:00,0.012627150046774442,,,
4,2013-01-01 13:15:00,356.6,356.9,355.95,356.35,65275,2013-01-01 14:14:00,2013-01-01 13:15:00,-0.007013114811603359,,,
5,2013-01-01 14:15:00,356.3,356.7,356.2,356.4,54212,2013-01-01 15:14:00,2013-01-01 14:15:00,0.0014030164877442174,,,
6,2013-01-01 15:15:00,356.4,356.6,356.05,356.35,49024,2013-01-01 15:29:00,2013-01-01 15:15:00,-0.0014030164877433724,,,
7,2013-01-02 09:15:00,358.7,358.8,356.6,358.05,60264,2013-01-02 10:14:00,2013-01-02 09:15:00,0.04759247505069113,,,
8,2013-01-02 10:15:00,358.2,360.9,358.0,360.0,105067,2013-01-02 11:14:00,2013-01-02 10:15:00,0.054313899972069195,,,
9,2013-01-02 11:15:00,360.2,361.85,360.0,361.1,108605,2013-01-02 12:14:00,2013-01-02 11:15:00,0.030508968332564123,,,
10,2013-01-02 12:15:00,361.0,368.5,361.0,368.4,256301,2013-01-02 13:14:00,2013-01-02 12:15:00,0.2001437609773951,,,
11,2013-01-02 13:15:00,368.2,368.65,365.7,366.9,159287,2013-01-02 14:14:00,2013-01-02 13:15:00,-0.040799730199154186,,,
12,2013-01-02 14:15:00,366.9,367.5,365.1,365.95,209986,2013-01-02 15:14:00,2013-01-02 14:15:00,-0.025926193140001597,,,
13,2013-01-02 15:15:00,365.8,367.75,365.6,367.5,87540,2013-01-02 15:29:00,2013-01-02 15:15:00,0.04226606605655294,,,
14,2013-01-03 09:15:00,368.0,368.4,363.2,364.1,99464,2013-01-03 10:14:00,2013-01-03 09:15:00,-0.09294763471503531,,,
15,2013-01-03 10:15:00,364.1,365.8,363.8,365.8,42816,2013-01-03 11:14:00,2013-01-03 10:15:00,0.04658180775377472,,,
16,2013-01-03 11:15:00,365.8,371.0,365.45,369.25,133229,2013-01-03 12:14:00,2013-01-03 11:15:00,0.09387185454723729,,,
17,2013-01-03 12:15:00,369.25,369.5,366.9,367.25,51555,2013-01-03 13:14:00,2013-01-03 12:15:00,-0.05431106357502457,,,
18,2013-01-03 13:15:00,367.7,368.6,367.15,367.4,39929,2013-01-03 14:14:00,2013-01-03 13:15:00,0.004083577270384618,,,
19,2013-01-03 14:15:00,367.2,367.5,365.9,366.15,100265,2013-01-03 15:14:00,2013-01-03 14:15:00,-0.03408087273946473,,,
20,2013-01-03 15:15:00,366.15,367.0,365.65,366.0,130104,2013-01-03 15:29:00,2013-01-03 15:15:00,-0.004097521057124157,,,
21,2013-01-04 09:15:00,365.95,379.7,365.95,377.0,597833,2013-01-04 10:14:00,2013-01-04 09:15:00,0.29611854046644437,,,
22,2013-01-04 10:15:00,377.0,377.95,374.3,375.95,223289,2013-01-04 11:14:00,2013-01-04 10:15:00,-0.02789031623974935,,,
23,2013-01-04 11:15:00,375.95,378.95,375.85,376.3,226919,2013-01-04 12:14:00,2013-01-04 11:15:00,0.009305417753557527,,,
24,2013-01-04 12:15:00,376.35,376.45,373.6,374.8,260951,2013-01-04 13:14:00,2013-01-04 12:15:00,-0.03994147235124498,,,
25,2013-01-04 13:15:00,375.0,376.0,374.75,375.45,125265,2013-01-04 14:14:00,2013-01-04 13:15:00,0.017327561816256415,,,
26,2013-01-04 14:15:00,375.45,376.0,373.25,374.2,196778,2013-01-04 15:14:00,2013-01-04 14:15:00,-0.03334892705903618,,,
27,2013-01-04 15:15:00,374.25,375.0,373.05,373.9,150266,2013-01-04 15:29:00,2013-01-04 15:15:00,-0.008020318569211926,,,
28,2013-01-07 09:15:00,376.2,383.7,376.0,383.35,327352,2013-01-07 10:14:00,2013-01-07 09:15:00,0.2496002802183557,,,
29,2013-01-07 10:15:00,383.15,387.8,383.0,384.85,326457,2013-01-07 11:14:00,2013-01-07 10:15:00,0.03905237975422986,,,
30,2013-01-07 11:15:00,384.85,393.3,384.75,391.8,349228,2013-01-07 12:14:00,2013-01-07 11:15:00,0.17897857530113817,,,
31,2013-01-07 12:15:00,391.8,392.0,389.0,390.65,315681,2013-01-07 13:14:00,2013-01-07 12:15:00,-0.029394870676871916,,,
32,2013-01-07 13:15:00,390.65,391.45,388.6,391.0,296298,2013-01-07 14:14:00,2013-01-07 13:15:00,0.008955415426124142,,,
33,2013-01-07 14:15:00,391.0,391.85,384.25,385.4,370649,2013-01-07 15:14:00,2013-01-07 14:15:00,-0.1442580400509987,,,
34,2013-01-07 15:15:00,385.4,387.0,384.6,387.0,150976,2013-01-07 15:29:00,2013-01-07 15:15:00,0.041429370495159254,,,
35,2013-01-08 09:15:00,387.8,389.8,379.6,382.45,297416,2013-01-08 10:14:00,2013-01-08 09:15:00,-0.11826767261906804,,,
36,2013-01-08 10:15:00,382.25,382.5,380.0,381.65,159473,2013-01-08 11:14:00,2013-01-08 10:15:00,-0.020939675233956866,,,
37,2013-01-08 11:15:00,381.65,381.95,379.6,379.95,200457,2013-01-08 12:14:00,2013-01-08 11:15:00,-0.044642931286853815,,,
38,2013-01-08 12:15:00,379.8,380.4,377.3,378.0,253475,2013-01-08 13:14:00,2013-01-08 12:15:00,-0.05145469496206209,,,
39,2013-01-08 13:15:00,377.9,381.9,377.35,381.6,125459,2013-01-08 14:14:00,2013-01-08 13:15:00,0.09478743954543739,,,
40,2013-01-08 14:15:00,381.15,381.8,379.15,380.95,253892,2013-01-08 15:14:00,2013-01-08 14:15:00,-0.01704806655112859,,,
41,2013-01-08 15:15:00,380.95,381.7,380.15,380.6,108601,2013-01-08 15:29:00,2013-01-08 15:15:00,-0.009191780569694788,,,
42,2013-01-09 09:15:00,381.15,386.65,381.15,386.05,197023,2013-01-09 10:14:00,2013-01-09 09:15:00,0.1421793989277561,,,
43,2013-01-09 10:15:00,386.0,386.3,384.5,384.9,60064,2013-01-09 11:14:00,2013-01-09 10:15:00,-0.029833344651244393,,,
