,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1764,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,512.1,520.0,512.1,519.85,3500,2013-01-01 10:14:00,2013-01-01 09:15:00,,,,
1,2013-01-01 10:15:00,519.0,519.0,515.1,515.95,1465,2013-01-01 11:14:00,2013-01-01 10:15:00,-0.07530446862255849,,,
2,2013-01-01 11:15:00,515.2,517.0,512.7,514.0,1666,2013-01-01 12:14:00,2013-01-01 11:15:00,-0.03786596106558379,,,
3,2013-01-01 12:15:00,515.0,517.0,515.0,517.0,2893,2013-01-01 13:14:00,2013-01-01 12:15:00,0.05819609053264002,,,
4,2013-01-01 13:15:00,517.0,518.0,516.0,517.0,2786,2013-01-01 14:14:00,2013-01-01 13:15:00,0.0,,,
5,2013-01-01 14:15:00,517.0,520.0,513.95,515.5,7713,2013-01-01 15:14:00,2013-01-01 14:15:00,-0.029055710514145242,,,
6,2013-01-01 15:15:00,517.0,517.5,513.75,515.5,1346,2013-01-01 15:29:00,2013-01-01 15:15:00,0.0,,,
7,2013-01-02 09:15:00,519.0,520.0,515.6,518.2,2808,2013-01-02 10:14:00,2013-01-02 09:15:00,0.05223964670995096,,,
8,2013-01-02 10:15:00,517.05,520.0,517.05,519.85,2160,2013-01-02 11:14:00,2013-01-02 10:15:00,0.031790402959696165,,,
9,2013-01-02 11:15:00,519.85,529.0,519.15,527.1,10764,2013-01-02 12:14:00,2013-01-02 11:15:00,0.13849975437181988,,,
10,2013-01-02 12:15:00,526.25,530.0,525.05,526.0,11182,2013-01-02 13:14:00,2013-01-02 12:15:00,-0.020890711234513998,,,
11,2013-01-02 13:15:00,526.5,528.0,525.2,527.0,14072,2013-01-02 14:14:00,2013-01-02 13:15:00,0.018993358036525375,,,
12,2013-01-02 14:15:00,527.0,527.25,525.2,525.25,4432,2013-01-02 15:14:00,2013-01-02 14:15:00,-0.03326208816252506,,,
13,2013-01-02 15:15:00,525.25,525.85,522.5,525.0,1283,2013-01-02 15:29:00,2013-01-02 15:15:00,-0.004760771334860781,,,
14,2013-01-03 09:15:00,524.95,526.0,521.0,524.0,9544,2013-01-03 10:14:00,2013-01-03 09:15:00,-0.019065782705815316,,,
15,2013-01-03 10:15:00,524.0,525.0,523.0,524.0,2166,2013-01-03 11:14:00,2013-01-03 10:15:00,0.0,,,
16,2013-01-03 11:15:00,524.0,525.0,523.2,525.0,53303,2013-01-03 12:14:00,2013-01-03 11:15:00,0.01906578270581669,,,
17,2013-01-03 12:15:00,525.0,538.65,524.0,537.9,16123,2013-01-03 13:14:00,2013-01-03 12:15:00,0.24274406687573039,,,
18,2013-01-03 13:15:00,537.95,544.0,531.1,532.9,20751,2013-01-03 14:14:00,2013-01-03 13:15:00,-0.09338879976460332,,,
19,2013-01-03 14:15:00,532.9,535.0,530.05,533.0,5799,2013-01-03 15:14:00,2013-01-03 14:15:00,0.0018763486310810031,,,
20,2013-01-03 15:15:00,532.3,534.25,528.35,528.35,5101,2013-01-03 15:29:00,2013-01-03 15:15:00,-0.08762481278804746,,,
21,2013-01-04 09:15:00,530.0,533.95,526.55,528.0,4892,2013-01-04 10:14:00,2013-01-04 09:15:00,-0.006626591807783827,,,
22,2013-01-04 10:15:00,528.0,540.0,528.0,539.0,12428,2013-01-04 11:14:00,2013-01-04 10:15:00,0.2061928720273561,,,
23,2013-01-04 11:15:00,538.75,539.6,535.0,537.0,1891,2013-01-04 12:14:00,2013-01-04 11:15:00,-0.037174764001324204,,,
24,2013-01-04 12:15:00,535.25,538.0,534.0,534.0,1727,2013-01-04 13:14:00,2013-01-04 12:15:00,-0.05602255548669898,,,
25,2013-01-04 13:15:00,534.3,536.0,534.0,535.85,605,2013-01-04 14:14:00,2013-01-04 13:15:00,0.03458432198811252,,,
26,2013-01-04 14:15:00,534.85,538.0,534.0,534.65,2249,2013-01-04 15:14:00,2013-01-04 14:15:00,-0.02241943956340484,,,
27,2013-01-04 15:15:00,534.65,537.0,533.0,533.2,1671,2013-01-04 15:29:00,2013-01-04 15:15:00,-0.02715738898111862,,,
28,2013-01-07 09:15:00,540.0,540.05,530.0,535.0,1329,2013-01-07 10:14:00,2013-01-07 09:15:00,0.03370158591452807,,,
29,2013-01-07 10:15:00,538.0,539.95,535.05,537.0,2966,2013-01-07 11:14:00,2013-01-07 10:15:00,0.037313476128581845,,,
30,2013-01-07 11:15:00,537.5,538.0,535.35,536.5,1157,2013-01-07 12:14:00,2013-01-07 11:15:00,-0.009315324381114966,,,
31,2013-01-07 12:15:00,536.7,540.0,535.0,537.85,2520,2013-01-07 13:14:00,2013-01-07 12:15:00,0.02513148807261219,,,
32,2013-01-07 13:15:00,536.25,539.0,535.4,537.0,1610,2013-01-07 14:14:00,2013-01-07 13:15:00,-0.01581616369149803,,,
33,2013-01-07 14:15:00,537.0,538.4,534.0,534.0,1468,2013-01-07 15:14:00,2013-01-07 14:15:00,-0.05602255548669898,,,
34,2013-01-07 15:15:00,534.0,534.0,525.45,528.8,2147,2013-01-07 15:29:00,2013-01-07 15:15:00,-0.09785550422718423,,,
35,2013-01-08 09:15:00,545.0,545.05,526.65,530.0,1057,2013-01-08 10:14:00,2013-01-08 09:15:00,0.022667180086910103,,,
36,2013-01-08 10:15:00,529.0,530.0,526.65,529.95,270,2013-01-08 11:14:00,2013-01-08 10:15:00,-0.000943440729034747,,,
37,2013-01-08 11:15:00,530.0,533.0,528.5,529.0,649,2013-01-08 12:14:00,2013-01-08 11:15:00,-0.01794230614964569,,,
38,2013-01-08 12:15:00,529.0,531.5,528.0,529.8,606,2013-01-08 13:14:00,2013-01-08 12:15:00,0.015111449796697856,,,
