,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1764,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 10:15:00,550.5,552.0,550.5,552.0,85,2013-01-01 11:14:00,2013-01-01 10:15:00,,,,
1,2013-01-01 11:15:00,555.0,557.95,555.0,557.95,25,2013-01-01 12:14:00,2013-01-01 11:15:00,0.10721306354614968,,,
2,2013-01-01 12:15:00,552.55,552.55,552.55,552.55,2,2013-01-01 13:14:00,2013-01-01 12:15:00,-0.09725425596919188,,,
3,2013-01-01 13:15:00,553.2,563.9,553.2,563.9,39,2013-01-01 14:14:00,2013-01-01 13:15:00,0.20333003778345204,,,
4,2013-01-01 14:15:00,562.95,562.95,560.8,560.8,20,2013-01-01 15:14:00,2013-01-01 14:15:00,-0.05512595092756109,,,
5,2013-01-01 15:15:00,562.95,562.95,560.0,560.0,71,2013-01-01 15:29:00,2013-01-01 15:15:00,-0.01427551991185335,,,
6,2013-01-02 09:15:00,588.8,588.8,565.0,570.0,272,2013-01-02 10:14:00,2013-01-02 09:15:00,0.17699577099400857,,,
7,2013-01-02 10:15:00,570.0,574.0,570.0,573.0,522,2013-01-02 11:14:00,2013-01-02 10:15:00,0.05249355886143745,,,
8,2013-01-02 11:15:00,573.0,575.0,573.0,575.0,831,2013-01-02 12:14:00,2013-01-02 11:15:00,0.03484324082610843,,,
9,2013-01-02 12:15:00,574.9,575.0,573.0,574.0,208,2013-01-02 13:14:00,2013-01-02 12:15:00,-0.017406444777839893,,,
10,2013-01-02 13:15:00,574.25,578.5,574.25,575.0,52,2013-01-02 14:14:00,2013-01-02 13:15:00,0.01740644477784118,,,
11,2013-01-02 14:15:00,575.0,606.35,575.0,605.0,7495,2013-01-02 15:14:00,2013-01-02 14:15:00,0.5085841723349095,,,
12,2013-01-02 15:15:00,607.9,625.0,601.05,608.95,13551,2013-01-02 15:29:00,2013-01-02 15:15:00,0.065077045022782,,,
13,2013-01-03 09:15:00,610.0,612.0,608.0,610.0,1487,2013-01-03 10:14:00,2013-01-03 09:15:00,0.017227946342373884,,,
14,2013-01-03 10:15:00,610.0,610.0,607.2,609.85,156,2013-01-03 11:14:00,2013-01-03 10:15:00,-0.0024593187810962934,,,
15,2013-01-03 11:15:00,609.85,609.85,607.05,609.8,95,2013-01-03 12:14:00,2013-01-03 11:15:00,-0.0008199073509295097,,,
16,2013-01-03 12:15:00,608.4,609.95,607.0,609.85,138,2013-01-03 13:14:00,2013-01-03 12:15:00,0.0008199073509298935,,,
17,2013-01-03 13:15:00,609.85,625.0,605.65,615.05,7752,2013-01-03 14:14:00,2013-01-03 13:15:00,0.08490540025546572,,,
18,2013-01-03 14:15:00,613.6,634.65,610.0,632.0,8929,2013-01-03 15:14:00,2013-01-03 14:15:00,0.2718582883206353,,,
19,2013-01-03 15:15:00,630.0,648.0,625.3,638.1,12598,2013-01-03 15:29:00,2013-01-03 15:15:00,0.09605616727443717,,,
20,2013-01-04 09:15:00,717.1,717.1,620.1,635.0,623,2013-01-04 10:14:00,2013-01-04 09:15:00,-0.04870011981609543,,,
21,2013-01-04 10:15:00,635.0,635.0,621.3,631.0,901,2013-01-04 11:14:00,2013-01-04 10:15:00,-0.06319136351478546,,,
22,2013-01-04 11:15:00,632.95,638.0,631.0,638.0,1662,2013-01-04 12:14:00,2013-01-04 11:15:00,0.11032420803576631,,,
23,2013-01-04 12:15:00,636.55,639.0,635.0,636.0,262,2013-01-04 13:14:00,2013-01-04 12:15:00,-0.03139720004667752,,,
24,2013-01-04 13:15:00,632.0,637.0,632.0,637.0,141,2013-01-04 14:14:00,2013-01-04 13:15:00,0.01571092232041146,,,
25,2013-01-04 14:15:00,637.0,638.95,626.95,630.0,285,2013-01-04 15:14:00,2013-01-04 14:15:00,-0.11049836186584935,,,
26,2013-01-04 15:15:00,626.5,637.95,620.7,637.75,1093,2013-01-04 15:29:00,2013-01-04 15:15:00,0.12226537636342362,,,
27,2013-01-07 09:15:00,649.9,649.9,634.0,640.0,1860,2013-01-07 10:14:00,2013-01-07 09:15:00,0.03521819331796791,,,
28,2013-01-07 10:15:00,640.0,643.0,635.15,640.0,2574,2013-01-07 11:14:00,2013-01-07 10:15:00,0.0,,,
29,2013-01-07 11:15:00,640.0,640.0,637.1,637.1,416,2013-01-07 12:14:00,2013-01-07 11:15:00,-0.045415472312750206,,,
30,2013-01-07 12:15:00,638.0,638.0,635.0,635.0,255,2013-01-07 13:14:00,2013-01-07 12:15:00,-0.033016302297508675,,,
31,2013-01-07 13:15:00,633.0,637.7,627.95,634.0,1045,2013-01-07 14:14:00,2013-01-07 13:15:00,-0.01576044455465766,,,
32,2013-01-07 14:15:00,633.95,635.45,629.95,634.0,1156,2013-01-07 15:14:00,2013-01-07 14:15:00,0.0,,,
33,2013-01-07 15:15:00,634.0,640.9,625.95,638.0,3423,2013-01-07 15:29:00,2013-01-07 15:15:00,0.06289328907563918,,,
34,2013-01-08 09:15:00,611.25,630.0,611.25,630.0,58,2013-01-08 10:14:00,2013-01-08 09:15:00,-0.12618463959211462,,,
35,2013-01-08 10:15:00,630.0,638.0,630.0,632.1,403,2013-01-08 11:14:00,2013-01-08 10:15:00,0.033277900926747456,,,
36,2013-01-08 11:15:00,635.0,646.0,635.0,640.0,705,2013-01-08 12:14:00,2013-01-08 11:15:00,0.12420566875464543,,,
37,2013-01-08 12:15:00,636.0,640.0,632.95,635.4,447,2013-01-08 13:14:00,2013-01-08 12:15:00,-0.07213454518301779,,,
38,2013-01-08 13:15:00,638.0,640.0,636.0,638.0,534,2013-01-08 14:14:00,2013-01-08 13:15:00,0.04083561509374238,,,
39,2013-01-08 14:15:00,638.0,644.0,636.05,640.0,2687,2013-01-08 15:14:00,2013-01-08 14:15:00,0.03129893008927566,,,
40,2013-01-08 15:15:00,643.55,650.0,640.0,645.0,2680,2013-01-08 15:29:00,2013-01-08 15:15:00,0.0778214044205495,,,
41,2013-01-09 09:15:00,650.0,650.0,649.8,650.0,112,2013-01-09 10:14:00,2013-01-09 09:15:00,0.07722046093910319,,,
42,2013-01-09 10:15:00,646.95,647.0,644.0,645.1,91,2013-01-09 11:14:00,2013-01-09 10:15:00,-0.07567019351486762,,,
43,2013-01-09 11:15:00,646.4,650.0,646.0,649.95,244,2013-01-09 12:14:00,2013-01-09 11:15:00,0.07490093315832051,,,
44,2013-01-09 12:15:00,648.8,648.85,645.0,645.0,91,2013-01-09 13:14:00,2013-01-09 12:15:00,-0.07645120058255728,,,
45,2013-01-09 13:15:00,645.35,648.85,645.35,648.85,122,2013-01-09 14:14:00,2013-01-09 13:15:00,0.05951248387467156,,,
46,2013-01-09 14:15:00,645.35,647.5,642.8,644.05,126,2013-01-09 15:14:00,2013-01-09 14:15:00,-0.07425202341142725,,,
47,2013-01-09 15:15:00,644.05,648.0,642.0,642.0,515,2013-01-09 15:29:00,2013-01-09 15:15:00,-0.0318805915213566,,,
48,2013-01-10 09:15:00,645.0,645.0,640.0,640.0,5,2013-01-10 10:14:00,2013-01-10 09:15:00,-0.03120127336243634,,,
49,2013-01-10 10:15:00,640.0,643.5,636.2,642.5,7,2013-01-10 11:14:00,2013-01-10 10:15:00,0.03898640415657323,,,
50,2013-01-10 11:15:00,642.95,643.0,642.95,643.0,100,2013-01-10 12:14:00,2013-01-10 11:15:00,0.007779074682445209,,,
51,2013-01-10 12:15:00,636.25,649.05,636.25,648.0,747,2013-01-10 13:14:00,2013-01-10 12:15:00,0.07745972114655329,,,
52,2013-01-10 13:15:00,648.0,651.0,644.0,644.0,3600,2013-01-10 14:14:00,2013-01-10 13:15:00,-0.06191970247921107,,,
53,2013-01-10 14:15:00,650.0,656.4,644.25,649.75,10369,2013-01-10 15:14:00,2013-01-10 14:15:00,0.08888947417245995,,,
54,2013-01-10 15:15:00,649.95,649.95,640.0,640.05,880,2013-01-10 15:29:00,2013-01-10 15:15:00,-0.15041375219481073,,,
55,2013-01-11 09:15:00,640.0,647.75,640.0,647.5,232,2013-01-11 10:14:00,2013-01-11 09:15:00,0.11572495271574308,,,
56,2013-01-11 10:15:00,645.1,647.45,644.95,647.45,707,2013-01-11 11:14:00,2013-01-11 10:15:00,-0.0007722305884365518,,,
57,2013-01-11 11:15:00,647.9,670.0,643.15,670.0,11064,2013-01-11 12:14:00,2013-01-11 11:15:00,0.34236141870162656,,,
58,2013-01-11 12:15:00,670.0,692.0,667.0,680.35,17382,2013-01-11 13:14:00,2013-01-11 12:15:00,0.15329659251855654,,,
59,2013-01-11 13:15:00,681.65,681.7,666.0,678.55,4107,2013-01-11 14:14:00,2013-01-11 13:15:00,-0.026492031094877928,,,
60,2013-01-11 14:15:00,675.4,685.0,664.0,668.3,5861,2013-01-11 15:14:00,2013-01-11 14:15:00,-0.15220994010355243,,,
