,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_252,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,844.35,846.6,839.1,840.6,1556625,2013-01-01 15:29:00,2013-01-01 09:15:00,,,,
1,2013-01-02 09:15:00,844.05,856.0,842.55,844.0,3068585,2013-01-02 15:29:00,2013-01-02 09:15:00,0.04036572024940703,,,
2,2013-01-03 09:15:00,848.55,862.0,844.6,860.1,3943088,2013-01-03 15:29:00,2013-01-03 09:15:00,0.18896166961476665,,,
3,2013-01-04 09:15:00,861.0,864.6,853.55,862.15,3018327,2013-01-04 15:29:00,2013-01-04 09:15:00,0.02380607888706736,,,
4,2013-01-07 09:15:00,865.7,871.0,851.9,852.0,3478984,2013-01-07 15:29:00,2013-01-07 09:15:00,-0.11842742616824824,,,
5,2013-01-08 09:15:00,855.1,858.1,847.9,849.2,3189204,2013-01-08 15:29:00,2013-01-08 09:15:00,-0.03291797000214659,,,
6,2013-01-09 09:15:00,852.0,859.85,848.65,854.6,3889808,2013-01-09 15:29:00,2013-01-09 09:15:00,0.06338793380823547,,,
7,2013-01-10 09:15:00,857.75,858.95,847.0,848.15,2107800,2013-01-10 15:29:00,2013-01-10 09:15:00,-0.07576016268192722,,,
8,2013-01-11 09:15:00,852.5,853.0,836.25,838.2,1832903,2013-01-11 15:29:00,2013-01-11 09:15:00,-0.11800771450760647,,,
9,2013-01-14 09:15:00,842.2,853.0,839.0,850.0,1601785,2013-01-14 15:29:00,2013-01-14 09:15:00,0.13979613993390974,,,
10,2013-01-15 09:15:00,847.9,851.8,838.0,847.55,2366469,2013-01-15 15:29:00,2013-01-15 09:15:00,-0.028865149198669254,,,
11,2013-01-16 09:15:00,846.9,870.9,846.15,859.2,4451657,2013-01-16 15:29:00,2013-01-16 09:15:00,0.1365188919010494,,,
12,2013-01-17 09:15:00,863.0,893.55,859.75,888.0,5048155,2013-01-17 15:29:00,2013-01-17 09:15:00,0.3297001923756968,,,
13,2013-01-18 09:15:00,895.05,902.95,885.65,898.25,5182831,2013-01-18 15:29:00,2013-01-18 09:15:00,0.11476683001457945,,,
14,2013-01-21 09:15:00,940.0,955.0,918.05,919.9,10008673,2013-01-21 15:29:00,2013-01-21 09:15:00,0.2381654248948354,,,
15,2013-01-22 09:15:00,922.05,930.7,915.55,922.4,4254566,2013-01-22 15:29:00,2013-01-22 09:15:00,0.027140004717377177,,,
16,2013-01-23 09:15:00,922.75,928.8,916.2,924.0,2670359,2013-01-23 15:29:00,2013-01-23 09:15:00,0.017331026868348743,,,
17,2013-01-24 09:15:00,924.3,928.35,907.0,918.0,3059245,2013-01-24 15:29:00,2013-01-24 09:15:00,-0.06514681021193641,,,
18,2013-01-25 09:15:00,916.3,917.35,905.1,910.8,3204394,2013-01-25 15:29:00,2013-01-25 09:15:00,-0.07874056430905996,,,
19,2013-01-28 09:15:00,911.8,913.15,895.0,896.75,3059220,2013-01-28 15:29:00,2013-01-28 09:15:00,-0.15546217777192511,,,
20,2013-01-29 09:15:00,895.3,902.0,880.1,883.1,3519784,2013-01-29 15:29:00,2013-01-29 09:15:00,-0.15338671937635429,,,
21,2013-01-30 09:15:00,888.25,903.4,888.25,899.75,4024732,2013-01-30 15:29:00,2013-01-30 09:15:00,0.1867850248438347,,,
22,2013-01-31 09:15:00,897.5,898.0,883.1,887.25,3799812,2013-01-31 15:29:00,2013-01-31 09:15:00,-0.13990155432534201,,,
23,2013-02-01 09:15:00,891.0,899.8,883.6,895.0,1857101,2013-02-01 15:29:00,2013-02-01 09:15:00,0.0869692674824944,,,
24,2013-02-04 09:15:00,896.15,901.0,884.1,890.5,3121356,2013-02-04 15:29:00,2013-02-04 09:15:00,-0.05040615545139051,,,
