,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_84,calculate_annualized_volatility_1,calculate_avg_volatility_1_10
0,2013-01-01 09:15:00,890.05,909.0,890.05,899.0,35641,2013-01-01 15:29:00,2013-01-01 09:15:00,,,,
1,2013-01-02 09:15:00,900.0,909.8,878.9,880.0,114948,2013-01-02 15:29:00,2013-01-02 09:15:00,-0.21361126999368155,,,
2,2013-01-03 09:15:00,884.0,894.0,879.9,879.9,197302,2013-01-03 15:29:00,2013-01-03 09:15:00,-0.001136428207371205,,,
3,2013-01-04 09:15:00,891.0,907.0,880.1,887.0,150735,2013-01-04 15:29:00,2013-01-04 09:15:00,0.0803671765806444,,,
4,2013-01-07 09:15:00,909.35,909.35,890.15,899.5,179400,2013-01-07 15:29:00,2013-01-07 09:15:00,0.13994071081008363,,,
5,2013-01-08 09:15:00,911.1,911.1,893.0,893.0,78808,2013-01-08 15:29:00,2013-01-08 09:15:00,-0.07252472514088722,,,
6,2013-01-09 09:15:00,900.05,913.3,888.9,900.0,229689,2013-01-09 15:29:00,2013-01-09 09:15:00,0.0780818244781171,,,
7,2013-01-10 09:15:00,900.85,904.5,861.2,867.5,143090,2013-01-10 15:29:00,2013-01-10 09:15:00,-0.36779251503296473,,,
8,2013-01-11 09:15:00,871.15,878.2,845.65,862.0,60245,2013-01-11 15:29:00,2013-01-11 09:15:00,-0.0636024115732116,,,
9,2013-01-14 09:15:00,851.1,877.45,850.0,870.0,117777,2013-01-14 15:29:00,2013-01-14 09:15:00,0.0923794098493636,,,
10,2013-01-15 09:15:00,872.0,878.0,862.7,870.0,52656,2013-01-15 15:29:00,2013-01-15 09:15:00,0.0,,,
11,2013-01-16 09:15:00,877.15,877.15,863.0,870.0,30182,2013-01-16 15:29:00,2013-01-16 09:15:00,0.0,,,
12,2013-01-17 09:15:00,870.2,884.0,865.35,878.0,57373,2013-01-17 15:29:00,2013-01-17 09:15:00,0.09153381986487201,,,
13,2013-01-18 09:15:00,872.7,885.0,865.2,877.0,23303,2013-01-18 15:29:00,2013-01-18 09:15:00,-0.011396012629336736,,,
14,2013-01-21 09:15:00,889.7,889.7,867.55,875.0,16103,2013-01-21 15:29:00,2013-01-21 09:15:00,-0.022831060145686324,,,
15,2013-01-22 09:15:00,880.0,887.0,871.0,882.0,627620,2013-01-22 15:29:00,2013-01-22 09:15:00,0.07968169649176882,,,
16,2013-01-23 09:15:00,882.95,895.0,875.0,877.95,28686,2013-01-23 15:29:00,2013-01-23 09:15:00,-0.046024116014517016,,,
17,2013-01-24 09:15:00,880.45,880.45,864.1,870.0,94403,2013-01-24 15:29:00,2013-01-24 09:15:00,-0.0909643275671021,,,
