,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_10,calculate_avg_zscore_sums_1_10,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_20,calculate_avg_zscore_sums_2_20
0,2013-01-01 09:15:00,512.1,520.0,512.1,515.5,21369,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,21369.0,,,,0.0,21369.0,,,
1,2013-01-02 09:15:00,519.0,530.0,515.6,525.0,46701,2013-01-02 15:29:00,2013-01-02 09:15:00,12666.0,34035.0,1.0,,,12666.0,34035.0,1.0,,
2,2013-01-03 09:15:00,524.95,544.0,521.0,528.35,112787,2013-01-03 15:29:00,2013-01-03 09:15:00,38537.60118233734,60285.666666666664,1.3623404602929954,,,38537.60118233734,60285.666666666664,1.3623404602929954,,
3,2013-01-04 09:15:00,530.0,540.0,526.55,533.2,25463,2013-01-04 15:29:00,2013-01-04 09:15:00,36622.75146681363,51580.0,-0.7131359320084509,,,36622.75146681363,51580.0,-0.7131359320084509,,
4,2013-01-07 09:15:00,540.0,540.05,525.45,528.8,13197,2013-01-07 15:29:00,2013-01-07 09:15:00,36175.97946483274,43903.4,-0.8488063199463666,,,36175.97946483274,43903.4,-0.8488063199463666,,
5,2013-01-08 09:15:00,545.0,545.05,526.65,527.0,7410,2013-01-08 15:29:00,2013-01-08 09:15:00,35714.87626753809,37821.166666666664,-0.8514985867193927,,,35714.87626753809,37821.166666666664,-0.8514985867193927,,
6,2013-01-09 09:15:00,534.35,539.9,525.15,534.0,44729,2013-01-09 15:29:00,2013-01-09 09:15:00,33153.78798008715,38808.0,0.17859196070012495,,,33153.78798008715,38808.0,0.17859196070012495,,
7,2013-01-10 09:15:00,536.95,540.0,526.1,526.1,109905,2013-01-10 15:29:00,2013-01-10 09:15:00,38918.426042292296,47695.125,1.5984684203928776,,,38918.426042292296,47695.125,1.5984684203928776,,
8,2013-01-11 09:15:00,537.4,549.0,531.0,544.0,65171,2013-01-11 15:29:00,2013-01-11 09:15:00,37101.39750121564,49636.88888888889,0.4186934228178906,,,37101.39750121564,49636.88888888889,0.4186934228178906,,
9,2013-01-14 09:15:00,541.7,549.4,535.2,547.0,23673,2013-01-14 15:29:00,2013-01-14 09:15:00,36049.04220988402,47040.5,-0.648214170683099,,,36049.04220988402,47040.5,-0.648214170683099,,
10,2013-01-15 09:15:00,545.0,558.0,543.1,551.0,37602,2013-01-15 15:29:00,2013-01-15 09:15:00,34478.347701824896,46182.454545454544,-0.2488650157965775,1.2475742390500018,,34478.347701824896,46182.454545454544,-0.2488650157965775,,
11,2013-01-16 09:15:00,552.75,569.95,550.0,563.6,80385,2013-01-16 15:29:00,2013-01-16 09:15:00,34337.35898971977,49032.666666666664,0.9130676981511562,1.160641937201158,,34337.35898971977,49032.666666666664,0.9130676981511562,,
12,2013-01-17 09:15:00,569.9,578.85,566.35,573.6,153277,2013-01-17 15:29:00,2013-01-17 09:15:00,43127.37643417084,57051.46153846154,2.2311938823456163,2.029495359253779,,43127.37643417084,57051.46153846154,2.2311938823456163,,
13,2013-01-18 09:15:00,575.0,581.0,570.2,571.0,21918,2013-01-18 15:29:00,2013-01-18 09:15:00,42532.18051825882,54541.92857142857,-0.7670410539479232,1.9755902373143064,,42532.18051825882,54541.92857142857,-0.7670410539479232,,
14,2013-01-21 09:15:00,576.0,579.8,563.0,572.0,11210,2013-01-21 15:29:00,2013-01-21 09:15:00,42487.87142996091,51653.13333333333,-0.9518747814891544,1.872521775771519,,42487.87142996091,51653.13333333333,-0.9518747814891544,,
15,2013-01-22 09:15:00,565.0,583.0,560.0,576.8,55299,2013-01-22 15:29:00,2013-01-22 09:15:00,41148.169652488796,51881.0,0.08306566315989869,2.8070860256508103,,41148.169652488796,51881.0,0.08306566315989869,,
16,2013-01-23 09:15:00,582.0,591.0,570.1,574.05,39319,2013-01-23 15:29:00,2013-01-23 09:15:00,40028.865406134384,51142.05882352941,-0.29536332602915943,2.333130738921526,,40028.865406134384,51142.05882352941,-0.29536332602915943,,
17,2013-01-24 09:15:00,576.4,587.5,552.95,562.0,23453,2013-01-24 15:29:00,2013-01-24 09:15:00,39414.71914928843,49603.77777777778,-0.6634774607609982,0.07118485776764993,,39414.71914928843,49603.77777777778,-0.6634774607609982,,
18,2013-01-25 09:15:00,555.0,569.9,555.0,562.0,45559,2013-01-25 15:29:00,2013-01-25 09:15:00,38374.10084925665,49390.89473684211,-0.09985627420678275,-0.4473648392570234,,38374.10084925665,49390.89473684211,-0.09985627420678275,,
19,2013-01-28 09:15:00,560.0,560.0,519.0,522.0,100139,2013-01-28 15:29:00,2013-01-28 09:15:00,39003.50136987704,51928.3,1.2360608229197034,1.436910154345779,1.4486770486019505,39003.50136987704,51928.3,1.2360608229197034,,
20,2013-01-29 09:15:00,522.6,545.0,522.6,543.0,45216,2013-01-29 15:29:00,2013-01-29 09:15:00,38090.351158332465,51608.666666666664,-0.16782902945929484,1.5179461406830617,1.4757142387652566,38090.351158332465,51608.666666666664,-0.16782902945929484,2.7655203797330636,
21,2013-01-30 09:15:00,545.0,563.9,536.0,559.75,40160,2013-01-30 15:29:00,2013-01-30 09:15:00,37290.92384723346,51088.27272727273,-0.29305449154442104,0.3118239509874844,1.3908324401438894,37290.92384723346,51088.27272727273,-0.29305449154442104,1.4724658881886425,
22,2013-01-31 09:15:00,584.7,584.7,551.05,551.05,35651,2013-01-31 15:29:00,2013-01-31 09:15:00,36606.86211617213,50417.086956521736,-0.40336937128512834,-2.3227393026432606,0.9556089739541853,36606.86211617213,50417.086956521736,-0.40336937128512834,-0.2932439433894812,
23,2013-02-01 09:15:00,548.0,555.5,535.0,537.0,17713,2013-02-01 15:29:00,2013-02-01 09:15:00,36427.11133084426,49054.416666666664,-0.8603870996525783,-2.4160853483479157,0.516441415387963,36427.11133084426,49054.416666666664,-0.8603870996525783,-0.44049511103360856,
24,2013-02-04 09:15:00,537.0,551.0,531.9,538.0,28449,2013-02-04 15:29:00,2013-02-04 09:15:00,35918.81202155773,48230.2,-0.5507197729180946,-2.0149303397768557,0.1276962038331256,35918.81202155773,48230.2,-0.5507197729180946,-0.14240856400533658,
25,2013-02-05 09:15:00,538.1,540.05,527.0,527.1,15291,2013-02-05 15:29:00,2013-02-05 09:15:00,35786.37842678867,46963.307692307695,-0.8850380810984411,-2.9830340840351957,-0.45131580713547503,35786.37842678867,46963.307692307695,-0.8850380810984411,-0.17594805838438488,
26,2013-02-06 09:15:00,530.05,539.75,526.55,533.4,15603,2013-02-06 15:29:00,2013-02-06 09:15:00,35613.31993222952,45801.81481481482,-0.8479640446968086,-3.5356348027028446,-1.038192361297912,35613.31993222952,45801.81481481482,-0.8479640446968086,-1.2025040637813185,
27,2013-02-07 09:15:00,527.0,531.0,520.0,525.0,19259,2013-02-07 15:29:00,2013-02-07 09:15:00,35316.77595169822,44853.857142857145,-0.7247223579486,-3.5968796998904464,-1.4049988170637215,35316.77595169822,44853.857142857145,-0.7247223579486,-3.525694842122796,
28,2013-02-08 09:15:00,526.25,533.85,513.0,533.05,14650,2013-02-08 15:29:00,2013-02-08 09:15:00,35137.41785822008,43812.34482758621,-0.8299512771614761,-4.32697470284514,-1.7929598034225331,35137.41785822008,43812.34482758621,-0.8299512771614761,-4.774339542102163,
29,2013-02-11 09:15:00,530.55,541.0,526.45,533.0,10444,2013-02-11 15:29:00,2013-02-11 09:15:00,35062.24818512863,42700.066666666666,-0.9199657277067538,-6.483001253471597,-2.584950944204271,35062.24818512863,42700.066666666666,-0.9199657277067538,-5.046091099125817,
30,2013-02-12 09:15:00,533.55,545.9,528.0,545.9,9662,2013-02-12 15:29:00,2013-02-12 09:15:00,34982.549178943955,41634.32258064516,-0.9139506219829556,-7.229122845995258,-3.459657842872103,34982.549178943955,41634.32258064516,-0.9139506219829556,-5.711176705312195,
31,2013-02-13 09:15:00,549.0,554.0,530.0,533.0,21729,2013-02-13 15:29:00,2013-02-13 09:15:00,34605.35593141109,41012.28125,-0.5572340099093352,-7.493302364360172,-4.2401704744068685,34605.35593141109,41012.28125,-0.5572340099093352,-7.181478413372687,
32,2013-02-14 09:15:00,539.4,546.65,522.5,537.5,14105,2013-02-14 15:29:00,2013-02-14 09:15:00,34387.73716802532,40196.90909090909,-0.7587562090351812,-7.848689202110225,-4.792765464353565,34387.73716802532,40196.90909090909,-0.7587562090351812,-10.171428504753484,
33,2013-02-15 09:15:00,530.0,537.75,522.65,526.1,11373,2013-02-15 15:29:00,2013-02-15 09:15:00,34226.50561646146,39349.14705882353,-0.8173825096935465,-7.805684612151193,-5.331725390733893,34226.50561646146,39349.14705882353,-0.8173825096935465,-10.221769960499108,
34,2013-02-18 09:15:00,537.0,537.0,520.2,530.0,8160,2013-02-18 15:29:00,2013-02-18 09:15:00,34131.843120034006,38458.02857142857,-0.8876763105021088,-8.142641149735207,-5.944496471729727,34131.843120034006,38458.02857142857,-0.8876763105021088,-10.157571489512064,
35,2013-02-19 09:15:00,529.6,533.9,526.15,530.0,4317,2013-02-19 15:29:00,2013-02-19 09:15:00,34118.92062168569,37509.666666666664,-0.9728521905692905,-8.230455259206057,-6.469238589246814,34118.92062168569,37509.666666666664,-0.9728521905692905,-11.213489343241251,
36,2013-02-20 09:15:00,534.0,573.7,533.0,550.0,55999,2013-02-20 15:29:00,2013-02-20 09:15:00,33787.988793677774,38009.37837837838,0.5324265297787639,-6.8500646847304845,-6.800681577449578,33787.988793677774,38009.37837837838,0.5324265297787639,-10.385699487433328,
37,2013-02-21 09:15:00,542.05,548.0,539.95,542.0,7986,2013-02-21 15:29:00,2013-02-21 09:15:00,33685.044713694144,37219.28947368421,-0.8678417892020747,-6.993184115983959,-7.140312019058929,33685.044713694144,37219.28947368421,-0.8678417892020747,-10.590063815874405,
38,2013-02-22 09:15:00,546.95,562.7,537.0,559.5,40312,2013-02-22 15:29:00,2013-02-22 09:15:00,33253.97397706908,37298.58974358974,0.0906180493942833,-6.072614789428199,-7.3148760277172356,33253.97397706908,37298.58974358974,0.0906180493942833,-10.399589492273337,
39,2013-02-25 09:15:00,560.1,577.0,560.1,570.0,35162,2013-02-25 15:29:00,2013-02-25 09:15:00,32837.362681774175,37245.175,-0.0634391689791895,-5.2160882307006355,-7.18818472544014,32837.362681774175,37245.175,-0.0634391689791895,-11.699089484172232,-5.454704782623365
40,2013-02-26 09:15:00,568.0,570.0,555.05,566.0,16361,2013-02-26 15:29:00,2013-02-26 09:15:00,32594.03151500213,36735.80487804878,-0.6251084609975548,-4.927246069715235,-6.957997047812137,32594.03151500213,36735.80487804878,-0.6251084609975548,-12.156368915710491,-6.200799247395542
41,2013-02-27 09:15:00,565.0,565.0,546.25,554.0,76275,2013-02-27 15:29:00,2013-02-27 09:15:00,32762.977031672373,37677.21428571428,1.1780915292579415,-3.191920530547957,-6.5278588644309155,32762.977031672373,37677.21428571428,1.1780915292579415,-10.68522289490813,-6.808683686550381
42,2013-02-28 09:15:00,559.9,559.9,547.0,551.0,12317,2013-02-28 15:29:00,2013-02-28 09:15:00,32604.577935309073,37087.441860465115,-0.7597228189738352,-3.1928871404866115,-6.062278658268554,32604.577935309073,37087.441860465115,-0.7597228189738352,-11.041576342596835,-7.346100306510749
