,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_10,calculate_avg_zscore_sums_1_10,calculate_volume_stdv_2,calculate_avg_volume_2,calculate_volume_zscore_2,calculate_sum_zscores_2_20,calculate_avg_zscore_sums_2_20
0,2013-01-01 09:15:00,890.05,909.0,890.05,899.0,35641,2013-01-01 15:29:00,2013-01-01 09:15:00,0.0,35641.0,,,,0.0,35641.0,,,
1,2013-01-02 09:15:00,900.0,909.8,878.9,880.0,114948,2013-01-02 15:29:00,2013-01-02 09:15:00,39653.5,75294.5,1.0,,,39653.5,75294.5,1.0,,
2,2013-01-03 09:15:00,884.0,894.0,879.9,879.9,197302,2013-01-03 15:29:00,2013-01-03 09:15:00,66001.73439303614,115963.66666666667,1.2323666049284208,,,66001.73439303614,115963.66666666667,1.2323666049284208,,
3,2013-01-04 09:15:00,891.0,907.0,880.1,887.0,150735,2013-01-04 15:29:00,2013-01-04 09:15:00,59108.94823332589,124656.5,0.44119377487581185,,,59108.94823332589,124656.5,0.44119377487581185,,
4,2013-01-07 09:15:00,909.35,909.35,890.15,899.5,179400,2013-01-07 15:29:00,2013-01-07 09:15:00,57224.03634627673,135605.2,0.7653217563155957,,,57224.03634627673,135605.2,0.7653217563155957,,
5,2013-01-08 09:15:00,911.1,911.1,893.0,893.0,78808,2013-01-08 15:29:00,2013-01-08 09:15:00,56363.729401096236,126139.0,-0.8397421622544274,,,56363.729401096236,126139.0,-0.8397421622544274,,
6,2013-01-09 09:15:00,900.05,913.3,888.9,900.0,229689,2013-01-09 15:29:00,2013-01-09 09:15:00,63529.5455391282,140931.85714285713,1.39710023271734,,,63529.5455391282,140931.85714285713,1.39710023271734,,
7,2013-01-10 09:15:00,900.85,904.5,861.2,867.5,143090,2013-01-10 15:29:00,2013-01-10 09:15:00,59430.734344565986,141201.625,0.03177438442963918,,,59430.734344565986,141201.625,0.03177438442963918,,
8,2013-01-11 09:15:00,871.15,878.2,845.65,862.0,60245,2013-01-11 15:29:00,2013-01-11 09:15:00,61537.57041228483,132206.44444444444,-1.1693904059312468,,,61537.57041228483,132206.44444444444,-1.1693904059312468,,
9,2013-01-14 09:15:00,851.1,877.45,850.0,870.0,117777,2013-01-14 15:29:00,2013-01-14 09:15:00,58539.93605266408,130763.5,-0.2218400100115757,,,58539.93605266408,130763.5,-0.2218400100115757,,
