,dt,o,h,l,c,v,e_dt,key,calculate_change_1,calculate_stdv_1_1,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_1,calculate_annualized_volatility_2,calculate_avg_volatility_2_10,calculate_change_3,calculate_stdv_3_1,calculate_annualized_volatility_3,calculate_avg_volatility_3_15,calculate_change_4,calculate_stdv_4_1,calculate_annualized_volatility_4,calculate_avg_volatility_4_20,calculate_change_5,calculate_stdv_5_1,calculate_annualized_volatility_5,calculate_avg_volatility_5_30,calculate_change_6,calculate_stdv_6_7,calculate_annualized_volatility_6,calculate_avg_volatility_6_5,calculate_change_7,calculate_stdv_7_7,calculate_annualized_volatility_7,calculate_avg_volatility_7_10,calculate_change_8,calculate_stdv_8_22,calculate_annualized_volatility_8,calculate_avg_volatility_8_10,calculate_change_9,calculate_stdv_9_44,calculate_annualized_volatility_9,calculate_avg_volatility_9_10,calculate_change_10,calculate_stdv_10_84,calculate_annualized_volatility_10,calculate_avg_volatility_10_10
0,2017-09-29 09:15:00,685.0,687.7,677.65,680.3,1364629,2017-09-29 15:29:00,2017-09-29 09:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2017-10-03 09:15:00,677.1,688.45,674.1,686.0,1750795,2017-10-03 15:29:00,2017-10-03 09:15:00,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,0.0,0.0,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,,0.08343750374870124,,,
2,2017-10-04 09:15:00,681.5,686.85,679.75,680.3,545163,2017-10-04 15:29:00,2017-10-04 09:15:00,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,0.0,0.0,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,,-0.08343750374870171,,,
3,2017-10-05 09:15:00,676.1,680.95,665.15,667.0,485895,2017-10-05 15:29:00,2017-10-05 09:15:00,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,0.0,0.0,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,,-0.19743831435391274,,,
4,2017-10-06 09:15:00,665.0,680.5,663.0,680.0,568108,2017-10-06 15:29:00,2017-10-06 09:15:00,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,0.0,0.0,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,,0.19302752254528677,,,
5,2017-10-09 09:15:00,670.0,686.0,670.0,685.0,647241,2017-10-09 15:29:00,2017-10-09 09:15:00,0.07326040092072882,0.0,0.0,0.0,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,0.0,0.0,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,,0.07326040092072882,,,
6,2017-10-10 09:15:00,680.0,690.0,680.0,687.0,749555,2017-10-10 15:29:00,2017-10-10 09:15:00,0.02915453960124135,0.0,0.0,0.0,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,0.0,0.0,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,,0.02915453960124135,,,
7,2017-10-11 09:15:00,683.6,689.9,683.6,687.5,350689,2017-10-11 15:29:00,2017-10-11 09:15:00,0.007275373183769279,0.0,0.0,0.0,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.0,0.0,,0.007275373183769279,0.11640554371752376,1.0668744307960878,,0.007275373183769279,0.11640554371752376,1.0668744307960878,,0.007275373183769279,,,,0.007275373183769279,,,,0.007275373183769279,,,
8,2017-10-12 09:15:00,682.2,702.0,682.2,701.0,936840,2017-10-12 15:29:00,2017-10-12 09:15:00,0.1944605749386377,0.0,0.0,0.0,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.0,0.0,,0.1944605749386377,0.13126005757155468,1.2030182990918215,,0.1944605749386377,0.13126005757155468,1.2030182990918215,,0.1944605749386377,,,,0.1944605749386377,,,,0.1944605749386377,,,
9,2017-10-13 09:15:00,693.2,701.0,693.2,695.0,239367,2017-10-13 15:29:00,2017-10-13 09:15:00,-0.08596041469797908,0.0,0.0,0.0,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.0,0.0,,-0.08596041469797908,0.13157659546971084,1.2059194168490672,,-0.08596041469797908,0.13157659546971084,1.2059194168490672,,-0.08596041469797908,,,,-0.08596041469797908,,,,-0.08596041469797908,,,
10,2017-10-16 09:15:00,691.55,697.5,674.25,696.05,237433,2017-10-16 15:29:00,2017-10-16 09:15:00,0.01509651269783997,0.0,0.0,0.0,0.01509651269783997,0.0,0.0,0.0,0.01509651269783997,0.0,0.0,,0.01509651269783997,0.0,0.0,,0.01509651269783997,0.0,0.0,,0.01509651269783997,0.09486697798508088,0.8694702151366848,,0.01509651269783997,0.09486697798508088,0.8694702151366848,,0.01509651269783997,,,,0.01509651269783997,,,,0.01509651269783997,,,
11,2017-10-17 09:15:00,695.0,719.9,690.2,716.35,960263,2017-10-17 15:29:00,2017-10-17 09:15:00,0.28747377504805116,0.0,0.0,0.0,0.28747377504805116,0.0,0.0,0.0,0.28747377504805116,0.0,0.0,,0.28747377504805116,0.0,0.0,,0.28747377504805116,0.0,0.0,,0.28747377504805116,0.11686470025152719,1.0710826699418963,1.0832730063631115,0.28747377504805116,0.11686470025152719,1.0710826699418963,,0.28747377504805116,,,,0.28747377504805116,,,,0.28747377504805116,,,
12,2017-10-18 09:15:00,711.25,720.8,703.8,713.9,338132,2017-10-18 15:29:00,2017-10-18 09:15:00,-0.03425977830966499,0.0,0.0,0.0,-0.03425977830966499,0.0,0.0,0.0,-0.03425977830966499,0.0,0.0,,-0.03425977830966499,0.0,0.0,,-0.03425977830966499,0.0,0.0,,-0.03425977830966499,0.12291369665722755,1.1265226377571718,1.0952026477553283,-0.03425977830966499,0.12291369665722755,1.1265226377571718,,-0.03425977830966499,,,,-0.03425977830966499,,,,-0.03425977830966499,,,
13,2017-10-23 09:15:00,710.0,715.0,690.0,694.5,450410,2017-10-23 15:29:00,2017-10-23 09:15:00,-0.27550734314016373,0.0,0.0,0.0,-0.27550734314016373,0.0,0.0,0.0,-0.27550734314016373,0.0,0.0,,-0.27550734314016373,0.0,0.0,,-0.27550734314016373,0.0,0.0,,-0.27550734314016373,0.17051181490246536,1.5627665973496936,1.1671523074069028,-0.27550734314016373,0.17051181490246536,1.5627665973496936,,-0.27550734314016373,,,,-0.27550734314016373,,,,-0.27550734314016373,,,
