,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,dt,o,h,l,c,v,e_dt,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
0,2024-01-01 09:15:00,1100.75,1100.75,1087.25,1094.4,5954,2024-01-01 10:14:00,,,,,2024-01-01 09:15:00,1100.75,1100.75,1087.25,1094.4,5954,2024-01-01 10:14:00,,,,
1,2024-01-01 10:15:00,1094.4,1095.25,1091.05,1093.0,1863,2024-01-01 11:14:00,-0.001280058691747491,,,,2024-01-01 10:15:00,1094.4,1095.25,1091.05,1093.0,1863,2024-01-01 11:14:00,-0.001280058691747491,,,
2,2024-01-01 11:15:00,1093.0,1094.0,1084.25,1084.3,5129,2024-01-01 12:14:00,-0.007991591698402349,,,,2024-01-01 11:15:00,1093.0,1094.0,1084.25,1084.3,5129,2024-01-01 12:14:00,-0.007991591698402349,,,
3,2024-01-01 12:15:00,1084.3,1084.3,1071.0,1073.35,11294,2024-01-01 13:14:00,-0.01015001877803881,,,,2024-01-01 12:15:00,1084.3,1084.3,1071.0,1073.35,11294,2024-01-01 13:14:00,-0.01015001877803881,,,
4,2024-01-01 13:15:00,1073.0,1077.4,1071.75,1074.7,7697,2024-01-01 14:14:00,0.0012569541470102642,,,,2024-01-01 13:15:00,1073.0,1077.4,1071.75,1074.7,7697,2024-01-01 14:14:00,0.0012569541470102642,,,
5,2024-01-01 14:15:00,1074.45,1080.1,1073.1,1076.25,4478,2024-01-01 15:14:00,0.0014412238948329043,0.004821804605642259,0.07654377514245174,,2024-01-01 14:15:00,1074.45,1080.1,1073.1,1076.25,4478,2024-01-01 15:14:00,0.0014412238948329043,,,
6,2024-01-01 15:15:00,1076.25,1082.0,1075.85,1082.0,2451,2024-01-01 15:29:00,0.005328403664486363,0.005974522630619319,0.09484260649767678,,2024-01-01 15:15:00,1076.25,1082.0,1075.85,1082.0,2451,2024-01-01 15:29:00,0.005328403664486363,,,
7,2024-01-02 09:15:00,1083.4,1105.75,1074.95,1079.0,16096,2024-01-02 10:14:00,-0.0027764941482922066,0.005253168213798748,0.08339146013340523,,2024-01-02 09:15:00,1083.4,1105.75,1074.95,1079.0,16096,2024-01-02 10:14:00,-0.0027764941482922066,,,
8,2024-01-02 10:15:00,1079.0,1081.5,1073.1,1076.0,7590,2024-01-02 11:14:00,-0.0027842245364049865,0.003042816970859897,0.048303221939892955,,2024-01-02 10:15:00,1079.0,1081.5,1073.1,1076.0,7590,2024-01-02 11:14:00,-0.0027842245364049865,,,
9,2024-01-02 11:15:00,1076.05,1084.9,1076.0,1078.05,4193,2024-01-02 12:14:00,0.001903391860831474,0.0030859505943442458,0.04898794698520105,0.07041380213972556,2024-01-02 11:15:00,1076.05,1084.9,1076.0,1078.05,4193,2024-01-02 12:14:00,0.001903391860831474,,,
10,2024-01-02 12:15:00,1079.75,1090.0,1079.75,1087.7,1362,2024-01-02 13:14:00,0.008911521517243283,0.004571488824523774,0.0725701353060054,0.06961907417243628,2024-01-02 12:15:00,1079.75,1090.0,1079.75,1087.7,1362,2024-01-02 13:14:00,0.008911521517243283,0.005434186240189588,0.08626503221730457,
11,2024-01-02 13:15:00,1087.7,1106.0,1087.55,1105.0,6129,2024-01-02 14:14:00,0.015779959852048588,0.007197484891222501,0.11425653052391709,0.07350185897768434,2024-01-02 13:15:00,1087.7,1106.0,1087.55,1105.0,6129,2024-01-02 14:14:00,0.015779959852048588,0.0073110923208388676,0.11605999255904217,
12,2024-01-02 14:15:00,1103.6,1104.9,1096.9,1104.75,3280,2024-01-02 15:14:00,-0.0002262699410038474,0.006761712347999698,0.107338855858571,0.0782913381227175,2024-01-02 14:15:00,1103.6,1104.9,1096.9,1104.75,3280,2024-01-02 15:14:00,-0.0002262699410038474,0.006691175100533256,0.10621911176879163,
13,2024-01-02 15:15:00,1105.25,1121.95,1105.25,1114.3,6484,2024-01-02 15:29:00,0.008607340042158752,0.005683650720539195,0.09022515807299869,0.08667572534933865,2024-01-02 15:15:00,1105.25,1121.95,1105.25,1114.3,6484,2024-01-02 15:29:00,0.008607340042158752,0.005599139535054975,0.0888835845942317,
14,2024-01-03 09:15:00,1115.0,1124.45,1104.9,1105.0,5872,2024-01-03 10:14:00,-0.008381070101154965,0.008376972424098857,0.13298031464286883,0.1034741988808722,2024-01-03 09:15:00,1115.0,1124.45,1104.9,1105.0,5872,2024-01-03 10:14:00,-0.008381070101154965,0.006671205992974685,0.10590211201376835,
15,2024-01-03 10:15:00,1104.95,1105.0,1097.5,1100.0,3766,2024-01-03 11:14:00,-0.004535155165391262,0.008816637403752652,0.1399597798209581,0.11695212778386274,2024-01-03 10:15:00,1104.95,1105.0,1097.5,1100.0,3766,2024-01-03 11:14:00,-0.004535155165391262,0.007022833314497573,0.11148402269532023,
16,2024-01-03 11:15:00,1100.0,1100.75,1097.2,1098.0,5231,2024-01-03 12:14:00,-0.0018198367169859828,0.005660072268331457,0.0898508617479497,0.11207099402866927,2024-01-03 11:15:00,1100.0,1100.75,1097.2,1098.0,5231,2024-01-03 12:14:00,-0.0018198367169859828,0.007030060941520499,0.11159875771735099,
17,2024-01-03 12:15:00,1098.0,1100.85,1098.0,1100.0,3183,2024-01-03 13:14:00,0.0018198367169858993,0.005793212994420098,0.0919644052515804,0.10899610390727114,2024-01-03 12:15:00,1098.0,1100.85,1098.0,1100.0,3183,2024-01-03 13:14:00,0.0018198367169858993,0.006886318108457358,0.10931691098315333,
18,2024-01-03 13:15:00,1100.0,1100.95,1098.1,1100.75,3258,2024-01-03 14:14:00,0.0006815858494013448,0.00368675626273888,0.05852544129430189,0.10265616055153177,2024-01-03 13:15:00,1100.0,1100.95,1098.1,1100.75,3258,2024-01-03 14:14:00,0.0006815858494013448,0.0067258025440405395,0.1067688053931409,
