,dt,o,h,l,c,v,e_dt,key,calculate_volume_stdv_1,calculate_avg_volume_1,calculate_volume_zscore_1,calculate_sum_zscores_1_5,calculate_avg_zscore_sums_1_5
0,2013-01-01 09:15:00,357.8,357.85,353.3,356.05,68710,2013-01-01 10:14:00,2013-01-01 09:15:00,0.0,68710.0,,,
1,2013-01-01 10:15:00,356.2,356.95,355.7,356.0,32839,2013-01-01 11:14:00,2013-01-01 10:15:00,17935.5,50774.5,-1.0,,
2,2013-01-01 11:15:00,356.15,358.45,355.95,356.15,152823,2013-01-01 12:14:00,2013-01-01 11:15:00,50285.72325112655,84790.66666666667,1.3529154784864152,,
3,2013-01-01 12:15:00,356.2,356.9,355.95,356.6,98672,2013-01-01 13:14:00,2013-01-01 12:15:00,43961.57540966884,88261.0,0.23682044837979627,,
4,2013-01-01 13:15:00,356.6,356.9,355.95,356.35,65275,2013-01-01 14:14:00,2013-01-01 13:15:00,40381.098070260545,83663.8,-0.45538137591020084,,
5,2013-01-01 14:15:00,356.3,356.7,356.2,356.4,54212,2013-01-01 15:14:00,2013-01-01 14:15:00,38462.11521925034,78755.16666666667,-0.6381127643854279,-0.5037582134294172,
6,2013-01-01 15:15:00,356.4,356.6,356.05,356.35,49024,2013-01-01 15:29:00,2013-01-01 15:15:00,37097.6908154232,74507.85714285714,-0.686939175531172,-0.1906973889605892,
7,2013-01-02 09:15:00,358.7,358.8,356.6,358.05,60264,2013-01-02 10:14:00,2013-01-02 09:15:00,35019.98925591462,72727.375,-0.3558931702954486,-1.899506037742453,
8,2013-01-02 10:15:00,358.2,360.9,358.0,360.0,105067,2013-01-02 11:14:00,2013-01-02 10:15:00,34546.012505063445,76320.66666666667,0.8321172618437497,-1.3042092242784997,
9,2013-01-02 11:15:00,360.2,361.85,360.0,361.1,108605,2013-01-02 12:14:00,2013-01-02 11:15:00,34174.39565069147,79549.1,0.8502242525951469,0.0013964042268481691,
10,2013-01-02 12:15:00,361.0,368.5,361.0,368.4,256301,2013-01-02 13:14:00,2013-01-02 12:15:00,60362.55246329712,95617.45454545454,2.6619740037044917,3.3014831723167677,
11,2013-01-02 13:15:00,368.2,368.65,365.7,366.9,159287,2013-01-02 14:14:00,2013-01-02 13:15:00,60412.477030997776,100923.25,0.9660876836758975,4.954510031523837,
12,2013-01-02 14:15:00,366.9,367.5,365.1,365.95,209986,2013-01-02 15:14:00,2013-01-02 14:15:00,64911.60638234193,109312.69230769231,1.5509292298101884,6.861332431629474,
13,2013-01-02 15:15:00,365.8,367.75,365.6,367.5,87540,2013-01-02 15:29:00,2013-01-02 15:15:00,62801.22028358321,107757.5,-0.32192845789789587,5.707286711887828,
14,2013-01-03 09:15:00,368.0,368.4,363.2,364.1,99464,2013-01-03 10:14:00,2013-01-03 09:15:00,60707.00257993306,107204.6,-0.12750753077963187,4.72955492851305,
15,2013-01-03 10:15:00,364.1,365.8,363.8,365.8,42816,2013-01-03 11:14:00,2013-01-03 10:15:00,60810.60557452001,103180.3125,-0.9926609335607899,1.0749199912477683,
16,2013-01-03 11:15:00,365.8,371.0,365.45,369.25,133229,2013-01-03 12:14:00,2013-01-03 11:15:00,59417.11303882503,104947.88235294117,0.4759759638368671,0.5848082714087377,
17,2013-01-03 12:15:00,369.25,369.5,366.9,367.25,51555,2013-01-03 13:14:00,2013-01-03 12:15:00,59024.0575181368,101981.61111111111,-0.8543399629145475,-1.8204609213159981,
18,2013-01-03 13:15:00,367.7,368.6,367.15,367.4,39929,2013-01-03 14:14:00,2013-01-03 13:15:00,59097.1438619255,98715.68421052632,-0.9947466217297314,-2.493279085147834,
19,2013-01-03 14:15:00,367.2,367.5,365.9,366.15,100265,2013-01-03 15:14:00,2013-01-03 14:15:00,57601.760476807474,98793.15,0.025552170416607758,-2.340219383951594,
20,2013-01-03 15:15:00,366.15,367.0,365.65,366.0,130104,2013-01-03 15:29:00,2013-01-03 15:15:00,56607.64767219701,100284.14285714286,0.5267814221063851,-0.8207770282844191,
21,2013-01-04 09:15:00,365.95,379.7,365.95,377.0,597833,2013-01-04 10:14:00,2013-01-04 09:15:00,117472.49439065997,122900.0,4.042929389245701,2.7461763971244153,
22,2013-01-04 10:15:00,377.0,377.95,374.3,375.95,223289,2013-01-04 11:14:00,2013-01-04 10:15:00,116700.11589883496,127264.73913043478,0.8228291817019853,4.423345541740948,
23,2013-01-04 11:15:00,375.95,378.95,375.85,376.3,226919,2013-01-04 12:14:00,2013-01-04 11:15:00,115965.5612294012,131417.0,0.8235376001939014,6.241629763664582,
24,2013-01-04 12:15:00,376.35,376.45,373.6,374.8,260951,2013-01-04 13:14:00,2013-01-04 12:15:00,116423.39425729864,136598.36,1.0681069796434344,7.284184572891408,
25,2013-01-04 13:15:00,375.0,376.0,374.75,375.45,125265,2013-01-04 14:14:00,2013-01-04 13:15:00,114183.33320290419,136162.46153846153,-0.09543828536776644,6.661964865417256,
26,2013-01-04 14:15:00,375.45,376.0,373.25,374.2,196778,2013-01-04 15:14:00,2013-01-04 14:15:00,112632.11724126319,138407.4814814815,0.5182404446281177,3.1372759207996723,
