strategyId,parameterId,instrument,tf,function,stdv_rolling_period,stdv_neg,avg_volatility_rolling_peirod,zscore_sum_rolling_period,zscore_sum_avg_rolling_period,change_per_avg_rolling_period,opt_summary_avg_period,opt_summary_threshold,fractal_period,fractal_high_low_avg_peirod,fractal_low_threshold,fractal_high_threshold
1,1,BANDHANBNK,60,VOLATILITY,5,FALSE,5,0,20,0,0,0,0,0,0,0
1,2,BANDHANBNK,60,VOLATILITY,462,FALSE,10,0,20,0,0,0,0,0,0,0
1,3,BANDHANBNK,60,VOLATILITY,1764,FALSE,10,0,5,0,0,0,0,0,0,0
2,1,BANDHANBNK,120,VOLATILITY,5,FALSE,5,0,10,0,0,0,0,0,0,0
2,2,BANDHANBNK,120,VOLATILITY,88,FALSE,10,0,10,0,0,0,0,0,0,0
2,3,BANDHANBNK,120,VOLATILITY,528,FALSE,10,0,20,0,0,0,0,0,0,0
3,1,BANDHANBNK,375,VOLATILITY,1,FALSE,10,0,5,0,0,0,0,0,0,0
3,2,BANDHANBNK,375,VOLATILITY,5,FALSE,5,0,10,0,0,0,0,0,0,0
3,3,BANDHANBNK,375,VOLATILITY,5,FALSE,30,0,20,0,0,0,0,0,0,0
3,4,BANDHANBNK,375,VOLATILITY,22,FALSE,10,0,40,0,0,0,0,0,0,0
3,5,BANDHANBNK,375,VOLATILITY,132,FALSE,10,0,10,0,0,0,0,0,0,0
4,1,BANDHANBNK,240,VOLATILITY,5,FALSE,5,0,20,0,0,0,0,0,0,0
4,2,BANDHANBNK,240,VOLATILITY,5,FALSE,30,0,5,0,0,0,0,0,0,0
4,3,BANDHANBNK,240,VOLATILITY,44,FALSE,5,0,10,0,0,0,0,0,0,0
4,4,BANDHANBNK,240,VOLATILITY,132,FALSE,10,0,20,0,0,0,0,0,0,0
